asset_id,category,asset_type,model_name,image_url,unit,mission_criticality,commission_date,total_operating_cycles,last_service_date,simulated_signature,is_clean_control
AC-1001,Aircraft,Fighter Jet,Su-30MKI Flanker-H,/images/assets/fighter_jet.jpg,101st Tactical Fighter Squadron,3.0,2023-08-13,250,2024-11-14,clean,True
AC-1002,Aircraft,Transport Plane,An-32 Tactical Transport,/images/assets/an32_transport.jpg,4th Strike Fighter Wing,2.5,2023-05-26,191,2024-09-29,clean,True
AC-1003,Aircraft,Surveillance Plane,Dornier 228 Maritime,/images/assets/dornier_228.jpg,22nd Heavy Cargo Airlift Wing,2.8,2022-06-02,241,2024-10-20,clean,True
AC-1004,Aircraft,Cargo Plane,IL-76 Gajraj Heavy Lifter,/images/assets/il76_gajraj.jpg,12th Air Surveillance Squadron,2.6,2022-12-15,180,2024-11-14,clean,True
AC-1005,Helicopters,Transport Helicopter,Chinook CH-47F Heavy Lift,/images/assets/chinook_ch47.jpg,10th Mountain Aviation Support,2.2,2023-01-02,236,2024-10-17,clean,True
AC-1006,Helicopters,Attack Helicopter,Rudra Armed Helicopter,/images/assets/rudra_armed_heli.jpg,15th Tactical Helicopter Squadron,2.8,2022-12-28,257,2024-09-29,clean,True
AC-1007,Helicopters,Rescue Helicopter,Chetak Search & Rescue,/images/assets/chetak_sar.jpg,82nd Airborne Combat Aviation,2.0,2023-03-26,180,2024-09-23,clean,True
AC-1008,Helicopters,Medical Helicopter,Mi-17 MEDEVAC Unit,/images/assets/transport_helicopter.jpg,10th Mountain Aviation Support,2.2,2022-12-10,204,2024-09-29,hydraulic_fuel,False
AC-1009,Vehicles,Tank,T-72 Ajeya Combat Tank,/images/assets/t72_ajeya.jpg,50th Tactical Logistics Regiment,2.0,2022-04-03,147,2024-11-10,bearing_gearbox,False
AC-1010,Vehicles,Armored Vehicle,BMP-2 Sarath Infantry Vehicle,/images/assets/armored_vehicle.jpg,3rd Armoured Brigade,1.8,2023-09-23,200,2024-09-27,turbine_thermal,False
AC-1011,Vehicles,Military Truck,Tatra 8x8 Heavy Tactical Truck,/images/assets/tatra_8x8.jpg,7th Mechanized Recon Cavalry,1.4,2022-05-27,141,2024-12-01,hydraulic_fuel,False
AC-1012,Vehicles,Fuel Vehicle,Jet-A1 Mobile Dispenser,/images/assets/jet_a1_dispenser.jpg,50th Tactical Logistics Regiment,1.6,2023-11-09,233,2024-11-05,bearing_gearbox,False
AC-1013,Vehicles,Transport Vehicle,Light Specialist Vehicle (LSV) 4x4,/images/assets/lsv_4x4.jpg,3rd Armoured Brigade,1.3,2022-05-19,137,2024-09-30,turbine_thermal,False
AC-1014,Aircraft,Fighter Jet,Tejas Mk1A,/images/assets/tejas_mk1a.jpg,4th Strike Fighter Wing,3.0,2022-05-10,97,2024-10-24,hydraulic_fuel,False
AC-1015,Aircraft,Transport Plane,C-295MW,/images/assets/c295_transport.jpg,22nd Heavy Cargo Airlift Wing,2.5,2023-01-28,168,2024-11-05,bearing_gearbox,False
AC-1016,Aircraft,Surveillance Plane,Netra AEW&C,/images/assets/surveillance_plane.jpg,12th Air Surveillance Squadron,2.8,2022-07-28,136,2024-11-26,turbine_thermal,False
AC-1017,Aircraft,Cargo Plane,C-17 Globemaster III,/images/assets/cargo_plane.jpg,101st Tactical Fighter Squadron,2.6,2023-09-09,213,2024-10-21,hydraulic_fuel,False
AC-1018,Helicopters,Transport Helicopter,ALH Dhruv Mk-III,/images/assets/rescue_medical_helicopter.jpg,15th Tactical Helicopter Squadron,2.2,2023-10-02,255,2024-09-24,bearing_gearbox,False
AC-1019,Helicopters,Attack Helicopter,AH-64E Apache Guardian,/images/assets/attack_helicopter.jpg,82nd Airborne Combat Aviation,2.8,2022-03-19,163,2024-10-23,turbine_thermal,False
AC-1020,Helicopters,Rescue Helicopter,ALH Dhruv SAR Lifesaver,/images/assets/rescue_medical_helicopter.jpg,10th Mountain Aviation Support,2.0,2022-04-19,174,2024-10-18,hydraulic_fuel,False
AC-1021,Helicopters,Medical Helicopter,ALH Dhruv Air Ambulance,/images/assets/rescue_medical_helicopter.jpg,15th Tactical Helicopter Squadron,2.2,2023-11-23,245,2024-11-29,bearing_gearbox,False
AC-1022,Vehicles,Tank,T-90 Bhishma Main Battle Tank,/images/assets/tank_t90.jpg,3rd Armoured Brigade,2.0,2022-04-04,207,2024-11-10,turbine_thermal,False
AC-1023,Vehicles,Armored Vehicle,K9 Vajra-T Self-Propelled Howitzer,/images/assets/k9_vajra.jpg,7th Mechanized Recon Cavalry,1.8,2023-06-25,153,2024-11-19,hydraulic_fuel,False
