asset_id,cycle,vibration_level,oil_debris_count,engine_temp_c,pressure_ratio,fuel_flow_rate,rotational_speed_rpm
AC-1001,1,1.434,8.1,650.9,13.9,1.992,12793.9
AC-1001,2,1.918,7.6,617.1,14.56,1.961,12841.1
AC-1001,3,2.196,11.8,676.5,13.67,1.939,12813.9
AC-1001,4,1.728,8.6,648.1,13.15,1.98,12797.3
AC-1001,5,2.432,9.8,652.8,13.43,1.985,12828.9
AC-1001,6,2.457,12.7,630.3,13.7,1.808,12787.4
AC-1001,7,2.013,11.7,661.9,13.1,2.115,12802.3
AC-1001,8,1.983,10.6,641.9,13.27,1.927,12728.4
AC-1001,9,2.24,10.7,646.9,13.77,2.007,12870.8
AC-1001,10,2.057,13.0,643.8,13.33,1.978,12862.0
AC-1001,11,1.959,8.2,657.7,13.08,2.159,12760.2
AC-1001,12,2.258,10.7,665.6,13.59,2.08,12818.4
AC-1001,13,1.988,10.1,660.5,13.07,2.123,12755.0
AC-1001,14,2.204,9.0,624.1,13.23,1.927,12792.9
AC-1001,15,2.248,10.6,638.9,13.22,2.06,12789.3
AC-1001,16,2.01,7.7,641.0,13.61,1.962,12829.5
AC-1001,17,2.032,9.4,671.1,12.59,1.973,12770.7
AC-1001,18,2.003,10.7,644.2,14.13,2.032,12883.4
AC-1001,19,2.356,5.9,652.2,13.42,1.94,12898.1
AC-1001,20,1.735,11.1,670.6,13.24,2.002,12834.1
AC-1001,21,2.151,12.8,646.9,13.45,1.958,12771.4
AC-1001,22,1.634,8.2,650.9,13.22,1.962,12819.8
AC-1001,23,1.662,7.6,647.6,13.59,2.156,12931.6
AC-1001,24,1.85,8.7,658.7,13.15,2.083,12821.4
AC-1001,25,1.935,10.4,663.0,13.68,1.963,12747.0
AC-1001,26,1.772,6.2,631.2,13.99,1.972,12775.3
AC-1001,27,1.832,12.2,638.8,12.91,1.942,12784.7
AC-1001,28,2.274,12.1,659.8,13.28,1.986,12802.7
AC-1001,29,2.342,11.1,650.1,13.65,1.972,12874.0
AC-1001,30,2.149,10.1,650.6,13.52,1.966,12690.7
AC-1001,31,1.609,11.0,654.7,13.26,2.022,12842.6
AC-1001,32,1.989,8.7,645.7,13.26,1.952,12894.6
AC-1001,33,2.442,7.2,639.1,13.68,2.053,12823.1
AC-1001,34,2.37,13.0,640.8,13.77,2.101,12818.0
AC-1001,35,1.689,8.1,663.3,13.83,1.928,12826.3
AC-1001,36,2.375,7.8,665.9,14.05,1.952,12842.2
AC-1001,37,1.552,9.0,638.6,13.34,2.097,12807.8
AC-1001,38,2.047,9.9,654.9,13.6,2.019,12768.6
AC-1001,39,2.266,10.4,668.5,13.26,1.942,12708.1
AC-1001,40,1.963,9.9,643.9,13.82,2.034,12771.0
AC-1001,41,2.011,13.2,671.6,13.74,1.993,12773.4
AC-1001,42,2.313,8.9,657.4,13.31,2.025,12846.3
AC-1001,43,2.094,7.8,646.0,13.37,1.886,12780.9
AC-1001,44,2.003,9.6,649.5,13.51,1.926,12753.6
AC-1001,45,1.965,8.5,674.4,13.95,2.063,12761.7
AC-1001,46,2.051,8.3,633.1,13.16,1.944,12763.8
AC-1001,47,1.997,10.7,638.6,14.03,2.13,12812.5
AC-1001,48,2.395,6.5,639.9,13.15,2.038,12796.6
AC-1001,49,1.985,13.4,665.1,13.53,1.949,12825.9
AC-1001,50,2.116,10.5,680.2,14.04,1.937,12812.5
AC-1001,51,2.15,12.7,661.3,13.08,1.829,12828.7
AC-1001,52,1.916,5.7,659.8,13.56,2.115,12722.6
AC-1001,53,1.734,10.1,643.4,13.66,1.929,12842.6
AC-1001,54,2.582,13.6,674.9,13.59,1.973,12780.5
AC-1001,55,2.512,8.7,617.9,13.25,1.908,12794.0
AC-1001,56,1.932,7.5,624.2,13.15,2.096,12848.6
AC-1001,57,2.547,9.5,671.5,12.98,2.001,12849.2
AC-1001,58,2.231,6.9,643.6,13.13,1.951,12780.6
AC-1001,59,1.976,11.8,622.8,13.34,2.03,12807.7
AC-1001,60,2.379,7.4,656.3,13.16,1.971,12763.5
AC-1001,61,1.9,8.3,661.8,13.29,2.034,12751.4
AC-1001,62,1.905,9.1,647.8,14.16,2.053,12806.0
AC-1001,63,2.337,8.9,650.0,13.76,2.003,12831.1
AC-1001,64,2.132,12.9,661.2,12.89,2.098,12761.6
AC-1001,65,1.928,7.9,678.2,14.19,2.029,12767.0
AC-1001,66,1.968,9.7,651.9,13.35,2.186,12831.6
AC-1001,67,2.154,10.6,657.1,13.27,2.028,12846.0
AC-1001,68,2.06,11.2,640.0,14.15,2.027,12758.0
AC-1001,69,2.091,7.0,662.1,12.98,2.022,12804.3
AC-1001,70,1.967,13.0,638.3,13.13,2.12,12891.7
AC-1001,71,2.229,8.4,653.5,13.29,1.996,12761.0
AC-1001,72,1.839,12.3,667.5,13.03,1.997,12828.5
AC-1001,73,1.524,7.0,653.1,13.31,1.905,12754.6
AC-1001,74,1.843,10.1,642.5,13.6,2.092,12817.2
AC-1001,75,1.983,8.8,642.0,13.52,1.963,12800.9
AC-1001,76,2.107,7.7,659.8,13.98,2.113,12764.7
AC-1001,77,2.035,12.4,658.3,13.12,1.9,12877.5
AC-1001,78,1.762,9.3,651.7,13.05,1.929,12866.6
AC-1001,79,1.995,10.6,645.0,14.02,2.139,12808.8
AC-1001,80,1.983,13.6,672.4,13.79,1.992,12843.5
AC-1001,81,2.388,10.6,660.1,13.34,2.101,12749.6
AC-1001,82,2.392,12.1,657.3,13.36,2.157,12841.4
AC-1001,83,2.24,9.6,637.8,13.45,1.927,12766.2
AC-1001,84,2.034,12.0,649.8,13.75,2.104,12782.1
AC-1001,85,1.889,11.2,673.9,13.23,1.967,12760.0
AC-1001,86,1.91,13.9,665.5,13.18,2.032,12837.5
AC-1001,87,1.927,9.8,646.4,13.55,1.956,12782.5
AC-1001,88,2.126,11.6,628.8,13.34,1.96,12787.2
AC-1001,89,2.151,8.5,662.5,13.91,2.057,12798.1
AC-1001,90,1.793,10.5,647.1,13.15,1.962,12850.4
AC-1001,91,2.093,11.3,630.1,13.16,1.954,12805.8
AC-1001,92,2.0,8.4,664.7,13.57,1.92,12825.9
